id,description
48692,"Get Additional 5% cash back + Upto 3000 Payback Points on Apple iPhone 5S 4 Inches (Space Grey, 16 GB. on order-value of minimum Rs.15000. Maximum cashback of Rs.1500)"
48693,Blindfold Sale - Get Up to 50% discount on All electronic Products
48694,Printed Scarves For Women Starting for Rs.400
48695,Summer Dresses Starts for just Rs.650
48696,CIAZ Collection Sofas Starts @ just Rs.7797
48697,Avail 50% OFF on Beds And Wardrobe Furniture
48698,"15% Off on Nursery (On order of Rs.3000 and above. Not on  Charlie Banana, Flamingo, Foscam, Kadam Baby, MadRat, Melissa & Doug, Motorola, Pinehill, Speedo, Tupperware, Wanna Party, Bio Oil, BeCool, Btwin, Alex Daisy, Jane, Chicco, Enfagrow and Wudplay)"
48699,"Avail Flat 15% Discount on Toys and Gaming (On minimum shopping of Rs.750. Max. once per user. Max. Rs.800 discount is allowed. Not on Charlie Banana, Flamingo, Foscam, Kadam Baby, MadRat, Melissa & Doug, Motorola, Pinehill, Speedo, Tupperware, Wanna Party, Bio Oil, BeCool, Btwin, Alex Daisy, Jane, Chicco, Enfagrow and Wudplay)"
48700,"Get Flat 15% discount on Baby Gear (Not on Charlie Banana, Flamingo, Foscam, Kadam Baby, MadRat, Melissa & Doug, Motorola, Pinehill, Speedo, Tupperware, Wanna Party, Bio Oil, BeCool, Btwin, Alex Daisy, Jane, Chicco, Enfagrow and Wudplay)"
48701,Get 20% off on Feeding and Nursing
48702,"Flat 10% OFF on Diapering Essentials (Not on  Baby Diapers and the brands Charlie Banana, Flamingo, Foscam, Kadam Baby, MadRat, Melissa & Doug, Motorola, Pinehill, Speedo, Tupperware, Wanna Party, Bio Oil, BeCool, Btwin, Alex Daisy, Jane, Chicco, Enfagrow and Wudplay)"
